-182.113, 40.631, 5.462, 13.224
-182.109, 40.263, 5.550, 13.291
-182.104, 39.890, 5.624, 13.358
-182.100, 39.513, 5.680, 13.425
-182.096, 39.133, 5.718, 13.492
-182.092, 38.751, 5.740, 13.559
-182.087, 38.368, 5.750, 13.626
-182.083, 37.985, 5.753, 13.693
-182.079, 37.602, 5.756, 13.760
-182.075, 37.219, 5.762, 13.827
-182.071, 36.834, 5.776, 13.894
-182.067, 36.448, 5.799, 13.961
-182.063, 36.060, 5.834, 14.028
-182.059, 35.670, 5.879, 14.095
-182.055, 35.275, 5.933, 14.162
-182.051, 34.877, 5.994, 14.229
-182.047, 34.475, 6.058, 14.296
-182.043, 34.068, 6.121, 14.363
-182.039, 33.658, 6.181, 14.430
-182.035, 33.243, 6.234, 14.497
-182.031, 32.826, 6.280, 14.564
-182.027, 32.406, 6.318, 14.631
-182.023, 31.984, 6.350, 14.698
-182.019, 31.559, 6.378, 14.765
-182.016, 31.133, 6.404, 14.832
-182.012, 30.706, 6.432, 14.899
-182.008, 30.276, 6.463, 14.966
-182.004, 29.844, 6.499, 15.033
-182.000, 29.409, 6.540, 15.100
-181.996, 28.971, 6.585, 15.167
-181.993, 28.530, 6.636, 15.234
-181.989, 28.085, 6.690, 15.301
-181.985, 27.637, 6.745, 15.368
-181.981, 27.185, 6.799, 15.435
-181.977, 26.730, 6.850, 15.502
-181.973, 26.271, 6.898, 15.569
-181.970, 25.810, 6.942, 15.636
-181.966, 25.345, 6.983, 15.703
-181.962, 24.878, 7.023, 15.770
-181.958, 24.408, 7.063, 15.837
-181.954, 23.936, 7.103, 15.904
-181.951, 23.461, 7.146, 15.971
-181.947, 22.983, 7.190, 16.038
-181.943, 22.502, 7.237, 16.105
-181.939, 22.017, 7.286, 16.172
-181.936, 21.529, 7.336, 16.239
-181.932, 21.038, 7.388, 16.306
-181.928, 20.543, 7.440, 16.373
-181.924, 20.045, 7.492, 16.440
-181.921, 19.544, 7.544, 16.507
-181.917, 19.039, 7.595, 16.574
-181.913, 18.530, 7.644, 16.641
-181.910, 18.019, 7.694, 16.708
-181.906, 17.504, 7.742, 16.775
-181.902, 16.985, 7.791, 16.842
-181.898, 16.464, 7.840, 16.909
-181.895, 15.939, 7.890, 16.976
-181.891, 15.411, 7.941, 17.043
-181.887, 14.880, 7.993, 17.110
-181.883, 14.344, 8.046, 17.177
-181.879, 13.806, 8.099, 17.244
-181.876, 13.264, 8.154, 17.311
-181.872, 12.718, 8.208, 17.378
-181.868, 12.168, 8.264, 17.445
-181.864, 11.615, 8.320, 17.512
-181.860, 11.058, 8.376, 17.579
-181.856, 10.497, 8.432, 17.646
-181.853, 9.933, 8.489, 17.713
-181.849, 9.364, 8.545, 17.780
-181.845, 8.792, 8.602, 17.847
-181.841, 8.216, 8.659, 17.914
-181.837, 7.637, 8.716, 17.981
-181.833, 7.053, 8.773, 18.048
-181.829, 6.466, 8.831, 18.115
-181.825, 5.875, 8.889, 18.182
-181.821, 5.280, 8.947, 18.249
-181.817, 4.681, 9.006, 18.316
-181.813, 4.078, 9.066, 18.383
-181.809, 3.471, 9.126, 18.450
-181.805, 2.860, 9.186, 18.517
-181.801, 2.245, 9.247, 18.584
-181.797, 1.626, 9.309, 18.651
-181.793, 1.003, 9.370, 18.718
-181.789, 0.376, 9.433, 18.785
-181.785, -0.256, 9.495, 18.852
-181.781, -0.891, 9.558, 18.919
-181.777, -1.531, 9.622, 18.986
-181.773, -2.175, 9.685, 19.053
-181.769, -2.824, 9.749, 19.120
-181.765, -3.476, 9.814, 19.187
-181.760, -4.133, 9.879, 19.254
-181.756, -4.795, 9.944, 19.321
-181.752, -5.460, 10.010, 19.388
-181.748, -6.130, 10.076, 19.455
-181.743, -6.805, 10.143, 19.522
-181.739, -7.484, 10.210, 19.589
-181.735, -8.167, 10.277, 19.656
-181.730, -8.855, 10.345, 19.723
-181.726, -9.548, 10.413, 19.790
-181.721, -10.245, 10.482, 19.857
-181.717, -10.947, 10.551, 19.924
-181.712, -11.653, 10.621, 19.991
-181.708, -12.364, 10.691, 20.058
-181.703, -13.080, 10.762, 20.125
-181.699, -13.800, 10.833, 20.192
-181.694, -14.525, 10.905, 20.259
-181.690, -15.255, 10.977, 20.326
-181.685, -15.990, 11.049, 20.393
-181.680, -16.730, 11.122, 20.460
-181.676, -17.474, 11.195, 20.527
-181.671, -18.224, 11.269, 20.594
-181.666, -18.978, 11.344, 20.661
-181.661, -19.738, 11.418, 20.728
-181.656, -20.502, 11.494, 20.795
-181.651, -21.271, 11.570, 20.862
-181.647, -22.046, 11.647, 20.929
-181.642, -22.826, 11.725, 20.996
-181.637, -23.611, 11.803, 21.063
-181.631, -24.401, 11.882, 21.130
-181.626, -25.196, 11.962, 21.197
-181.621, -25.997, 12.043, 21.264
-181.616, -26.804, 12.125, 21.331
-181.611, -27.615, 12.207, 21.398
-181.606, -28.433, 12.290, 21.465
-181.600, -29.255, 12.373, 21.532
-181.595, -30.084, 12.456, 21.599
-181.590, -30.918, 12.541, 21.666
-181.584, -31.757, 12.625, 21.733
-181.579, -32.602, 12.710, 21.800
-181.573, -33.453, 12.795, 21.867
-181.567, -34.310, 12.881, 21.934
-181.562, -35.172, 12.967, 22.001
